User ID,Current Latitude,Current Longitude,Historical Ride Acceptance Rate
U001,40.81395,-76.34354,0.81
U002,41.08289,-77.29718,0.41
U003,40.4342,-76.44499,0.72
U004,41.21419,-77.4597,0.98
U005,41.36343,-77.22959,0.43
U006,40.58459,-77.11931,0.67
U007,40.88283,-77.13493,0.73
U008,40.53189,-77.13383,0.56
U009,40.91178,-76.54219,0.44
U010,40.98158,-76.7735,0.33
U011,41.09355,-77.27977,0.35
U012,41.50316,-76.32564,0.87
U013,40.73004,-77.36719,0.78
U014,40.89268,-77.33795,0.65
U015,40.40577,-76.39322,0.48
U016,41.15953,-77.11035,0.66
U017,41.02055,-77.26257,0.98
U018,41.29466,-76.357,0.93
U019,41.08198,-76.37815,0.36
U020,40.59968,-77.43013,0.53
